names,cats,desc
The Chronicles of Narmo,Age 10+,"Fifteen-year-old Morag Narmo doesn't want to go to school any more: she and her rabble of younger siblings would rather feed their heads into a waste disposal unit than 'do the academical'. But when the children convince their parents to take them out of school and educate them at home, a whole muddle of chaotic events soon ensue.
Bestselling author and columnist Caitlin Moran wrote The Chronicles of Narmo when she was just a teenager herself. Those familiar with her backstory will soon recognise the autobiographical elements of this slight but pleasingly wacky story about an unconventional and eccentric family ('Narmo' is of course an anagram of 'Moran'). Although it is uneven in places, and certainly lacks the polish of Moran's later work, it is easy to see the origins of her characteristic offbeat, anarchic sense of humour in this sharp and well-observed story. With its deadpan wit and occasional imaginative flights of fancy, this leftfield family tale will entertain both adult fans of Moran's work, and children "
The Secret Diary of Adrian Mole Aged 13 3/4,Age 12+,"The first book in the Adrian Mole series, this was a publishing sensation back in the 1980s, but still has the power to entertain pre-teen, teen and even adult readers, and make them double up with laughter.
Adrian Mole is an unforgettable character, but one that will resonate with many young people as they approach or reach puberty. Although aspects of the books have obviously dated a little, most of it remains refreshingly relevant.
Through Adrian's diary, we hear him speak openly about spots, girls, school and a troubling family life: all the time, convinced that he is a genius and that nobody in the world can possibly understand him.
As the series develops, the Adrian Mole books become increasingly satirical and poignant. However, they are all completely hi"
The Silver Sword,Age 9+,"In the chaos of World War II, Ruth, Edek and Bronia are separated from their parents, and left alone to fend for themselves, hiding from the Nazis in the ruins of their city. But when they meet orphan Jan, who treasures a paperknife in the shape of a silver sword that he was given by an escaped prisoner of war, it becomes a powerful symbol of hope. The children realise that the escapee was their father, and the silver sword a message that he is alive and searching for them. Together with Jan they begin a dangerous journey across Europe to the safety of Switzerland where they hope to reunite with their parents.
This story of a courageous group of Polish children whose lives are torn apart by war is a true modern classic. Ian Serralier's moving account of the hardships the children and endure, and the self-knowledge and maturity they gain through their ordeal will speak to young readers as powerfully now as"
Dangerous Reality,Age 10+,"Dominic’s Mum is super-clever. She’s invented Vims, a Virtual Interactive Mobile System, which can be programmed to do anything – defuse bombs, detect landmines, operate complex equipment in hazardous conditions – it’s genius. But when a saboteur re-programmes Vims, its first important demonstrations go horribly wrong. Only then does Dominic realise that Vims is lethal, and it’s coming for him…
A gripping story in which Dominic turns detective, to discover who has betrayed his Mum. He rapidly realises that unlike computers, people can’t be programmed. They sometimes do the wrong things for the right reasons, with life-changing consequences. Dominic also uncovers some painful home truths about friend"
Inkheart,Age 8+,"Cornelia Funke's magical fantasy adventure more than fulfils the promise of its prize-winning predecessor, The Thief Lord.
12-year-old Meggie and her father, Mo, a bookbinder, both love reading, but since the mysterious disappearance of Meggie's mother, they no longer read together.
One night a stranger knocks at their door, prompting Mo to reveal his awful secret: he has the ability to breathe life into stories and literally bring their characters alive. Years ago, he accidentally conjured up a terrible villain called Inkheart, who now threatens to destroy him.
Only Meggie can find a way to change the course of the story and save the father she loves, but can she do so in time?
This brilliantly told and gripping tal"
The Amber Spyglass,Age 10+,"In this exceptional conclusion to the trilogy, Pullman has effectively woven together the disparate strands from Northern Lights and The Subtle Knife to create an extremely satisfying finale.
Lyra and Will, the fiesty protagonists from the first two novels, are reunited to embark on their final, dangerous journey on which the future of all the worlds depend.
As well as developing previously introduced characters, Pullman presents new characters and ideas, stretching the readers' imagination further still.
Tackling tremendous concepts, from the origins of creation, to love, loyalty, betrayal and death, this is a thrilling conclusion to a superb trilogy which will have "
Alex Rider Mission 5: Scorpia,Age 11+,"The fifth Alex Rider adventure sees the teenage spy in Venice, where he infiltrates Scorpia, an international organisation of assassins.
Scorpia has devised a deadly weapon – the Invisible Sword – to exterminate thousands of children in London and bring about the downfall of the powerful West.
Meanwhile, as Alex discovers more about his father’s death, he has to make some difficult choices about his future: should he remain loyal to MI6, who have manipulated and lied to him, or join Scorpia as an assassin so that he can exact his revenge on those who betrayed his father?
With an action-packed plot and plenty of high-tech gadgetry, this i"
Predator's Gold,Age 10+,"Predator's Gold, the sequel to Reeve's breathlessly exciting Mortal Engines is every bit as thrilling and imaginative as its predecessor. Two years on, Tom and Hester, now lovers, on board the stolen flying machine Jenny Haniver, are fugitives from a terror organisation called Green Storm. Following a wounding air battle they seek refuge in Anchorage, the infamous travelling ice-city, to make repairs. But Anchorage is headed for America - the fabled dead continent - under the guidance of a loose-tongued explorer called Nimrod Pennyroyal and the young couple a"
The Princess Diaries,Age 12+,"Mia hides her real feelings as she takes care of her disastrously disorganised mother, until her absent father drops a bombshell: She is actually Princess Amelia of Genovia, a small principality in Europe.
This is not just a story about the fun of dressing up and being chauffeured around, but also a telling social commentary on the challenge of l"
"Over Sea, Under Stone",Age 9+,"On holiday in Cornwall, Simon, Jane and Barney discover an ancient map in the attic of the Grey House, where they are staying with their much-loved but mysterious Great Uncle Merry. But this apparently innocent discovery soon leads them to an extraordinary quest to discover an ancient grail, which sets them in the midst of an ancient and terrible battle between the forces of darkness and light. 
The first book in Susan Cooper's magnificent The Dark is Rising sequence combines elements of a traditional children's adventure story with fantasy and myth. Full of suspense and magic, it will captivate young readers imaginations, and leave them eager to read the other four "
The Secret Garden,Age 9+,"When the spoilt and bad-tempered Mary is orphaned at the age of ten, she is sent from India to live with her hunchback uncle on the Yorkshire Moors. At first, she is utterly miserable, but gradually the frienship of her maid and the discovery of a secret garden in the grounds of the house begin to change her.
Then she finds another secret in the house - Colin, her sickly cousin, who is as self-centred and disagreeable as herself. This classic novel is a satisfying and absorbing read, and demonstrates the resilience of children even when they are surrou"
Mary Poppins,Age 7+,"Mary Poppins arrives with the East wind to Number Seventeen Cherry Tree Lane to respond to the needs of Jane and Michael, whose parents are too busy to give them the attention they crave.

With her no-nonsense style and a liberal sprinkling of imagination, Mary Poppins descends into their lives and brings order, as well as magic, into the chaos of the Banks' household. When the wind changes, it is time for Mary Poppins to leave, but the Banks family will never be quite the same again.

First published in 1934, Mary Poppins is the first in a series of books that are much darker than the popular musical it inspired.

This  omnibus edition contains all six original Mary Poppins stories: Mary Poppins, Mary Poppins Comes Back, Mary Poppins Opens the Door, Mary Poppins in the Park, Mary Poppins in Cherry Tree Lane / M"
Pop-Up Frankenstein,Age 9+,"Frankenstein tells the story of a privileged and self-absorbed young man whose arrogant obsession leads him to create a monstrous version of a human being.
Frankenstein abandons the physically grotesque creature he has created, leaving it to be reviled and rejected by mankind. As a consequence, its gentle nature is twisted and distorted until it becomes a veritable monster, wreaking havoc and bringing death and destruction in its wake.
This remarkable new version blends the finest contemporary illustration, dramatic storytelling and superb paper engineering. A combination of comic strip detail and stunning pop-ups on every spread bring each moment of the story to life, from the monster"
Kensuke's Kingdom,Age 10+,"Michael is hungry, lonely and scared when he is washed up on a seemingly deserted island. He soon discovers another inhabitant - Kensuke, a former Japanese soldier - who, although initially unfriendly, provides Michael with food and water.
Gradually, a strong bond develops between the two castaways. This is a beautifully written tale of an exceptional friendship which survives beyond the "
Megan,Age 12+,"Megan is 15 when she realises she is pregnant. GCSE’s are imminent, the baby’s father seems disinterested and her best friends apparently views the situation as the best bit of gossip the school has seen in ages.
Hooper depicts Megan’s fears, her mixed emotions and the varied reactions of her friends and family with sensitivity "
Saffy's Angel,Age 9-13,"Families don't come much stranger than Saffron's. The children are all named after paints on a colour chart, their mother spends most of her time locked in the garden shed, and the family home (inexplicably named 'Banana House') is teeming with guinea pigs. A few years previously, Saffy discovered that her brothers and sisters are actually her cousins (her real mother died when she was small), but it is her grandfather's death that suddenly triggers distant memories. Aided by her wheelchair-using neighbour Sarah, Saffy starts to investigate.
This is an uplifting story about an eccentric family encased in chaos, but also "
The Adventures of Pinocchio,Age 9+,"The story of the wooden puppet who learns goodness and becomes a real boy is famous the world over, and has been familiar in English for over a century. From the moment Joseph the carpenter carves a puppet that can walk and talk, this wildly inventive fantasy takes Pinocchio through countless adventures, in the course of which his nose grows whenever he tells a lie, he is turned into a donkey, and is swallowed by a dogfish, before he gains real happiness.
First published in 1883, this classic Italian story about redemption and parenthood still appeals to children and adults. Ann Lawson Lucas's translation captures the complexity of Collodi's word-play, slapstick"
King Lear - Manga Shakespeare,Age 11+,"The story of Lear, the old chieftain, who divides his kingdom among his three daughters is the most terrifying tragedy ever written.

Shakespeare’s apocalyptic play is vividly transferred to the colonial frontiers of 18th-century America, where it is the last of the Mohicans who is bound upon a wheel of fire...

Part of the popular Manga Shakespeare series of graphic novel adpatations of Shakespeare's plays - perfect for introducing Key Stage 3 students to Shakespeare. Ilya's illustrations match the intensity of the play to bring t"
Soul Eater,Age 10+,"Despite the inherent dangers, Torak cannot wait for support from the rest of the clan but, with his close friend Renn, embarks on a hazardous quest to rescue Wolf from the frozen wastes of the Far North. When the pair discover the true nature of the evil they are approaching, they must risk life and limb to save not only themselves, but the whole of Mankind.
This third book in the Chronicles of Ancient Darkness will not disappoint existing fans and will enthral and enchant new readers. A complex plot puts an original slant on a good versus evil battle and will keep readers on the edge of "
The Baby and Fly Pie,Age 11+,"Fly Pie and Sham are rubbish pickers, who go to the tip every day to pick rubbish for Mother Shelly. Then one day everything changes when they come across a dying man and a baby – a baby worth seventeen million pounds. Together with Fly’s sister Jane, they must try to evade the Monroe gang, keep the baby alive, and negotiate for a reward that will allow them to escape the poverty in the life they are used to. Yet in a society driven by self-interest, deceit and greed, is happiness only fleeting?
Set in a dystopian world of class polarisation, slums, violence, enslaved children and extreme poverty, this bleak and often disturbing book is most suited to older children and teenagers. As always, Melvin Burgess will leave reader"
The Railway Children,Age 9-13,"Now nearly 100 years old, this story centers on the lives of three children whose comfortable, middle-class existance ends when their father has to go away unexpectedly.
Roberta, Peter and Phyllis leave their London home and move with their mother to a small cottage in the country where life is very different. With their mother now busy writing to earn money, the railway becomes a source of fascination and solace to the children.
They make friends with Perks the Porter and the station master, and discover new and exciting things about the trains. However, mystery remains - where is their father? Then the terrible truth is discovered.
This charming story deals sensitively with the subject of an absent parent, and the challenges o"
The Sleeping Sword,Age 8+,"This Arthurian tale, set in the Scilly Isles, is a story within a story. Ten-year-old Bun Bendle, blinded in a freak accident, falls into a huge hole in one of his father's fields. The hole is, in fact, an ancient tomb hiding a remarkably well-preserved sword and shield.
When Bun takes hold of the sword, an incredible power surges through his whole body and his life is changed forever.
Like Michael Morpurgo's other stories, this is a convincing and compelling tale that illustrates beautifully the value of friend"
The Phantom Tollbooth,Age 10+,"Milo is bored and can’t see the point to anything, particularly school. But when a mysterious tollbooth suddenly appears in his bedroom, Milo decides to give it a go. He gets in the car, pays the toll, and finds himself in the Kingdom of Wisdom.
Milo is soon set on the task of saving the kingdom’s two princesses – Ryme and Reason – who have been exiled to the Castle in the Air. Without the princesses who generally solved all disputes, the kingdom is now in disarray with literally no rhyme or reason.
First published in 1961, the book is full of clever plays on words and puns, such as Tock the 'watchdog' and events that explore the literal meanings of idiomatic expressions. Through Milo’s amusing and often mind-bogglingly absurd adventures through the kingdom, he discovers a love of education and learning.
This is a classic book with such vividly strange scenes that chil"
Grace and Family,Age 8+,"In this sequel to Amazing Grace, Grace is invited by her father to visit him in Africa. In the Gambia she meets his family and explores n"
Stop the Train,Age 9+,"This novel is set in 1890s Oklahoma. Cissy's family buys a plot of land in Florence, hoping to build a new life there. However, when the newly-settled residents anger the railroad company by refusing to sell them some of their land, the train will no longer stop in Florence.
Without supplies and tourism, the town cannot flourish and the community struggles to survive, so everyone desperately tries to think of a way to stop the train. This is a very satisfying novel, with an exciting plot that thoroughly engages the reader, a"
Freak the Mighty,Age 11+,"Kevin and Max are both accustomed to ridicule: Kevin because he is small and disabled and Max because he is huge and perceived to be stupid. When fate throws this seemingly mismatched pair together the result is awesome: Freak the Mighty.
Kevin's razor-sharp wit and limitless imagination combined with Max's great strength and capacity for empathy take the pair on an exciting, symbiotic journey through the trials of life as an outsider.
This tragic, suspenseful and touching story is written with simplicity and humour, and while a tissue or two is mandatory, it is ultimately uplifting and leaves a"
The Suitcase Kid,Age 9+,"Distraught at her parents' divorce, Andy cannot decide who she wants to live with. She spends one week at Mum's house, the next at Dad's, but never really feels that she belongs anywhere.
This difficult situation, which is worsened by animosity between Andy and her new stepfamilies, has no simple solution. Approached with humour and understanding, this is a very readable tale of confusion, guilt and ultimately optimism, with which many c"
Checkmate,Age 12+,"How does a sweet and innocent child grow up to be so bitter and twisted that she is prepared not only to kill those she considers to be enemies of ‘the cause’ but also to blow herself up in the process?
This final installment in the Noughts & Crosses trilogy, set in an alternative reality where dark-skinned Crosses are considered superior to fair-skinned Noughts, follows Callie Rose’s life from ages 7-16.
As she grows up and gradually uncovers the secrets about her father, her grandparents and her early childhood which have been kept hidden for so long, her evil Uncle Jude reappears and instigates an insidious plan to destroy Callie Rose and her family.
A dramatic conclusion to an award-winning series, which is both relevant and topical"
"Angus, Thongs and Full-Frontal Snogging",Age 11+,"Welcome to the world of Georgia Nicolson - an angst-ridden teenage girl who keeps a diary to record the rollercoaster of emotions and experiences she faces every day. Parents, boyfriends, bullies and hair-bleaching disasters are all part of Georgia's eventful life, which she relates with tremendous verve, wit and humour.
This riotous novel is the first in a series of hilarous Georgia Nicholson stories from bestselling author Louise Rennison, which are beloved"
Casting the Gods Adrift,Age 8+,"This is a journey back in time to the era of the ancient Egyptians, when religion and ritual were central to people's lives. They believed in many gods, represented in animal form, until Akhenaten became Pharaoh and, shockingly, banned the worship of all gods except Aten, the sun disc.
This revolutionary moment in history is brought to life through the experiences of Tutmose, a boy who has travelled with his father to supply the Pharaoh with rare beasts. The family stays on to serve Akhenaten, but there are tensions between old and new, and Tutmose finds himself in danger, caught up in a murder plot.
Geraldine McCaughrean brilliantly evokes the place and culture of the time, and turns this extraordinary event "
"It's OK, I'm Wearing Really Big Knickers!",Age 11+,"This is the second book in the continuing diary of Georgia Nicolson. The account of her life with her friends, her family, her eccentric cat Angus and her on-off relationship with 'sex god' Robbie is colourful and convincing. A readable and very funny portrait of "
A.N.T.I.D.O.T.E,Age 11-14,"Elliot wishes his Mum was more interesting: everyone else’s parents do exciting things like work for the BBC, but his is only a secretary. But is she? One night she goes out late with his uncle, and the next morning her face is all over the news with CCTV footage showing her breaking into the animal testing laboratories of the multinational company Shelby Pardela. His uncle has been arrested, his Mum is on the run, and suddenly things have got much more exciting (and much more dangerous) for Elliot. Can he get to the bottom of what’s happened and clear her name?
This is a tightly-plotted thriller, taking in industrial espionage, computer hacking and environmental activism. With plenty of twists and a gutsy teenage protagonist up against some sinister forces with only his wits and wise-guy best friend to help him, A.N.T.I.D.O.T.E makes f"
Eagle of the Ninth,Age 10+,"In AD 117AD, the Ninth Legion marched into the mists of northern Britain... and were never seen again. Four thousand men disappeared, and their eagle standard was lost - but how? In this engaging historical novel, Marcus Aquila, son of the legion's commander sets out to solve this strange mystery and clear his father's name. But his quest will take him deep into British territory in disguise, through territory so dangerous that no one expects he will return.
This captivating mystery is a highly-acclaimed classic of children's literature. Rosemary Sutcliff writes brilliantly about life in Roman Britain, bringing this fascinating period of history "
Coraline,Age 12+,"One day Coraline unlocks a mysterious door that opens onto another world, a twisted parody of Coraline's own dimension. She discovers something very sinister about her ‘other mother’, who has trapped her real parents and plans to keep the family there forever.
As Coraline tries to escape, she is faced with a fantastical series of macabre and bizarre situations. Excellently written, and superbly original, Coraline is well suited to those who enjoy reading about the weird and the wonderful with a dash of horror and humour.It is destined to"
The Owl Service,Age 12+,"Alison and her family are spending a holiday in Wales, in a bed and breakfast run by Gwyn and his mother. When Alison finds a curious dinner service in the attic, with a strange pattern of floral owls that looks different depending on how it is arranged, the discovery sets off a strange chain of events that look set to affect everyone's lives.
Soon, Alison, her stepbrother Roger and Gwyn find themselves repeating an ancient Welsh legend associated with the valley where they are staying. As tension begins to rise, can they break the pattern and avoid tragedy?
Winner of both the Guardian Children's Book Award and the Carnegie Medal, this extraordinary and powerful story is a modern classic. Blending together mystery, adventure, history and a complex set of human relationships, it will leave young readers eager to read more f"
How to Train Your Dragon,Age 9+,"Hiccup Horrendous Haddock III was an incredible sword-fighter, dragon-whisperer and the greatest Viking hero who ever lived. But he wasn't always like that - in fact, in the beginning, Hiccup wasn't fierce, brave or heroic at all. But the arrival of the Seadragonus Giganticus Maximus offers the chance for Hiccup to shine. The ferocious bravado of the other Vikings proves useless, and Hiccup is called upon to save them by using his brains rather than his brawn.Can he defeat the dragon and save the Viking tribe from certain death?
This award-winning story of Vikings and dragons, with its striking black-and-white-illustrations, is enormous fun. Young readers will love Cressida Cowell's sharp wit and humour, and will be keen to follow Hiccup's adventures through the rest of the b"
Harry Potter and the Order of the Phoenix,Age 9+,"Harry Potter is due to start his fifth year at Hogwarts School of Witchcraft and Wizardry. He is desperate to get back to school and find out why his friends Ron and Hermione have been so secretive all summer. But before he even gets to school, Harry survives a terrifying encounter with two Dementors, attends a court hearing at the Ministry of Magic and is escorted on a night-time broomstick ride to the secret headquarters of a mysterious group called 'The Order of the Phoenix' ...
This is a gripping and electrifying novel, full of suspense"
Double Cross,Age 13+,"This is the very welcome fourth novel in Blackman's award-winning Noughts and Crosses series, which continues the story of Callie Rose, from the ruling elite black class and Tobey, from the minority 'blankers'.
Each teenager harbours a dreadful secret, their reluctant friendship flowering and faltering through shared experience, unwilling criminal involvement and the use of violence to defeat evil.
Blackman portrays an engagingly vulnerable, multifaceted character in Tobey, who narrates the majority of the book, and through him creates for her readers profound moral and ethical dilemmas.
Her dystopian world is sufficiently close to ours for teenage readers to draw many disturbing parallels with contemporary urban culture, but happily resolution is offered through the ultimate indestru"
"The Lion, the Witch and the Wardrobe",Age 9+,"When the Pevensie children - Peter, Susan, Edmund and Lucy - step through a wardrobe door in the strange country house where they are staying, they find themselves in the land of Narnia. Frozen in eternal winter, Narnia is a land of snow and pine forests, and its creatures are enslaved by the terrible White Witch.
Tempted by the promise of endless Turkish Delight, Edmund becomes the White Witch's servant - and its up to his brother and sisters to release him from his enchantment and to rid Narnia of the witch. But just when it seems that all hope is lost, the Great Lion Aslan returns to help the children to save Narnia.
This classic story is certain to capture young imaginations, cleverly blending elements of fairy-tale and fantasy to create a wonderfully engaging adventure. Adult readers will be quick to spot the Christian symbolism woven through C S Lewis's story, which some critics have found problematic - but children will enjoy the magic of this spell"
Anne of Green Gables,Age 9+,"Anne Shirley, an opinionated and decidedly red-haired 11-year-old orphan, is mistakenly sent to Nova Scotia to live with a middle-aged brother and sister, Matthew and Marilla, at their farm, Green Gables.
At first, stern Marilla is set to send Anne back to the orphanage. However, as Anne brightens up their quiet life, Marilla reconsiders…
Anne Shirley is one of literature's finest heroines, and this first book of her adventures is the perfect book about growing up, friendship and family.
The bond that grows between Anne, Marilla and Matthew is incredibly touching. Anne's friendship with the shyer and more conventional Diana is also full of warmth, as Diana provides the (mostly) sensible foil to Anne's madcap schemes. Anne's relationship with the initially hated Gilbert Blythe, her rival at school, develops beautifully into a friendship in the tradition of a classic romance.
Meanwhile, the beautiful wildness of Nova Scotia, the location for this much-loved story, complements A"
Swiss Family Robinson,Age 9+,"William, a Swiss pastor, and his wife Elizabeth are sailing to Australia with their four sons – Fritz, Ernest, Jack and Francis – when their ship is caught in a storm and they become shipwrecked on a deserted island.
Taking all the ship’s cargo to land, including livestock, the family set up camp on the island and prepare for a long stay. They explore and adapt to their new environment, encountering an amazing array of animals on the island. Covering ten years of their adventure and survival, the book has all the impossibilities of a tropical island that a child will love.
Originally written in German in 1812, the language is a bit antiquated and carries a religious undertone that you would expect in a book from the 1800s, but the strong sense of adventure remains. Numerous adaptations and translations have resulted in changes from the original version, and the 1960 classic Disney film that most will know"
The Wind Singer,Age 11+,"This is a stunningly original fantasy, set in the mythical city of Aramanth, where every hosehold is judged solely on its members' ability to perform in examinations. Only one family has the strength to rebel, fighting the system, and, in doing so, risks all.
Leaving their parents and baby sibling behind, Bowman and his sister, Kestrel, embark on a dangerous journey in search of secrets which will make the 'wind singer' sing once again, thus restoring normality to their world.
Their epic quest is depicted with a perfect balance of drama"
Starring Grace,Age 8+,"There is no end to Grace's imagination! It is the school holidays and she and her friends spend their time playing at being everything from doctors to ghost-hunters. Then when Grace takes part in her favourite musical 'Annie', she realises that what she really wants to be is a star!
This book tackles the subject of an absent father (he lives in The Gambia) and a mother's new boyfriend, with sensibility and great understanding of children's emotional needs. A multicultural celebration of childhood, effectively illustrated "
The Illustrated Mum,Age 10+,"Marigold, the ‘illustrated mum’ of the title, has elaborate tattoos covering her body from head to toe.
Narrated by Dolphin, the youngest of her two daughters, this is a moving, yet unsentimental account of two children coming to terms with their mother’s depression, mental instability and alcohol problem. Written wit"
Bad Girls,Age 8+,"Bitterly unhappy and fed up with being teased at school, Mandy White is in need of a friend. However, with her spiky orange hair, strappy stilettos and tendency to shoplift, the colourful Tanya isn't exactly what Mandy's parents would have wished for.
Bad Girls effortlessly depicts the sort of insecurities and concerns to which man"
Once,Age 10+,"Felix has lived in a Catholic orphanage for over three years but always hopes that his Jewish bookseller parents to come for him. Alarmed by the sight of what he assumes are official 'librarians' burning Jewish books in the orphanage, he sets off in search of his parents to warn them of the danger.
On his travels Felix uses his natural optimism and storytelling gift to explain away the horrific events he witnesses in Nazi-occupied Poland. His stories bring hope to the children of a ghetto and ultimately comfort to them on their final train journey.
Morris Gleitzman brings heart and humour to the difficult subject of the Holocaust in this ground-breaking children's book. Told in simple yet powerful language, his story reveals the redemptive power of stories and the potential for humanity and "
Pig Heart Boy,Age 11+,"Cameron desperately needs a new heart when he is offered the opportunity to take part in a radical and controversial experiment involving the transplant of a pig's heart. While Cameron soon comes to terms with the idea, he finds the world around him less accepting. A p"
Clockwork,Age 10+,"Apprentice clock-maker Karl must craft a new figure for the great clock in town - but he is exceedingly short on inspiration. When a mysterious little clockwork character appears from nowhere, Karl seems to have found the answer to his prayers.
In fact he is in for a terrible shock. An intriguing and magical f"
CHERUB: The Recruit,Age 10+,"James Choke comes from a dysfunctional family, and is often in trouble at school. When his mother dies, James is sent to a children's home, but here he is recruited into the ranks of CHERUB - a secret organisation established during World War II, which trains children between ten and seventeen as spies. CHERUB agents live in the real world, slipping under the adult radar and collecting information that sends criminals and terrorists to jail - and for official purposes, these children do not exist.
The first book in Robert Muchamore's spectacular CHERUB series follows James through his gruelling basic training, and an undercover mission which sees him helping to foil a group of terrorists. Chilling, convincing and brilliantly-written, this adventure will "
Refugee Boy,Age 10-14,"Alem's father is Ethiopian and his mother is Eritrean, and there is a dangerous conflict raging between the two countries.
For his own safety, Alem's father brings him to England to escape the dangers at home. At first, Alem is delighted to be having a holiday with his dad, until he wakes up one morning to find his father has left him in England alone.
Although Alem is heartbroken and everything about English culture is very confusing, he tries to see the positives of living in a cold, alien environment far from his home and family.
Alem's moving story helps the reader understand the difficulties refugees face coming to England from a child's perspective, but also points out the huge advantages we all take for granted – free education, no war, a support system that tries to help and a legal system that tries to bring justice and security to refugees. It also shows how the British press constantly stirs up hatred against refugees and minorities, and how difficult that is for Alem.
There are a number of excellent refugee stories published more recently, such as The Fox Girl and the White Gazelle and The Boy at the Back of the Class, but Refugee Boy really stands the test of time, highlighting the problems children like "
Shadow of the Minotaur,Age 11+,"Combining Greek mythology with modern technology, Alan Gibbons creates an exciting fantasy adventure. Phoenix is thrilled when he is allowed to test 'The Legendeer', a virtual reality game his father is developing, and wearing a sophisticated bodysuit, he feels as though he's actually part of the mythical world.
The more he plays the harder he finds it to drag himself back to reality and he is drawn ever deeper into the terrifying game. Coming face to face with the fearsome Minotaur, he has to - quite literally - fight for his life.
An inventive, original tale which should "
Goggle-Eyes,Age 10+,"When Helen Johnston rushes out of registration in tears, Kitty Killin is sent after her. Kitty is not only a great storyteller, she is also the world's leading expert in mothers with unwanted boyfriends.
So it is that Helen and Kitty spend a morning closeted together in the privacy of the Lost Property Cupboard, while Kitty tells the story of Goggle-Eyes, once the most unwanted boyfriend of them all.
Goggle-Eyes is over fifty, grey-haired and gets in the way of Kitty's time with her mother. His greatest fault, though, is that he doesn't agree with their strong-held beliefs about nuclear disarmament, and doesn't mind telling them so.
This is a highly readable and amusing story dealing w"
Step by Wicked Step,Age 11+,"A miserable school trip to Harwick Hall is livened up for five students by the discovery of a secret turret room and a young boy's diary. As they read his story of suffering at the hands of his cruel stepfather, their own tales of life with step-parents, step-siblings, half-brothers and sisters seep out.
This positive look at life in extended families is encouraging for those children who have coped with similar upheavals and informative for those who have not.
All five young people have faced the strains of torn loyalty, had to accomodate new partners in their parents' lives and had to work out resolutions to parents childish quarrels.
Anne Fine does not shy away from the fact that separation and divorce are painful, but she does have an uplifting message about t"
The Vicar of Nibbleswicke,Age 9-12,"This is the highly amusing tale of Reverend Lee, who does not realise that his dyslexia is affecting his sermons. His parishioners are initially amused when he muddles his sentences, but eventually nobody can decipher the garbled and often shocking messages coming from the pulpit. An extremely funny book, the proceeds of "
Computer Ghost,Age 8-12,"When Jade starts to receive e-mail messages from her father two months after his death, she clings to the idea that he is watching over her.
But when messages tell her to deliver a secret package to the local shopping centre, her friends wonder if something, or someone, more cruel and sinister is involved. A gri"
Blood,Age 12+,"This well-deserved republication of Durant's 1992 novel is a murder mystery which goes beyond the obvious.
When Robert's parents are shot dead in their home, it appears that they have disturbed thieves. Frustrated by the slow police investigation, he feels compelled to uncover their identity and discovers a situation which threatens his own sanity.
Durant's cleverly constructed short novel follows Robert through his psychiatric treatment, and readers gradually become aware of the background to his mental state and the events which he has been blocking from consciousness, and is only gradually acknowledging. As we read it emerges that the novel is in fact Robert's own account written as part of his therapy. An exciting, unusual, ag"
Artemis Fowl,Age 8-12,"Twelve-year-old criminal mastermind, Artemis Fowl, hatches an ingenious plot to steal all the gold in fairy land. Although a little dubious about the plan - indeed not even quite believing in the existence of fairies - his trusty bodyguard and companion, Butler, is on hand to help. However, they have not reckoned on Captain Holly Short, who as first female officer in the Lower Elements Police Reconnaissance unit, or LEPrecon, has much to prove. When she is kidnapped by Artemis, she is determined to stand her ground and protect the fairy secrets.
This hilarious and exciting adventure story is a deserving favourite with young readers. The unscrupulous Artemis Fowl is such a likable character that you will almost will him to succeed in his dastardly schemes - whilst also rooting for the bold Captain Holly. Colfer's explanations of the structure and technology of his spin on fairy land are absolutely believable, creating an amusing and highly imaginative vision of fairies, dwarves and trolls that is j"
James and the Giant Peach,Age 8-11,"When his parents are unceremoniously eaten by a rhinoceros that escapes from London Zoo, James is forced to go and live with his unpleasant aunts. Through a series of peculiar and magical happenings, James finds himself in a giant peach with a bunch of friendly giant insects for travelling companions.
Determined to find a better life, the insects bite the great peach free from its tree and launch into an amazing journey to freedom. Their travels are accompanied by much humour and plenty of ridiculous rhymes along the way in true Roald Dahl style. Perf"
Journey to the River Sea,Age 9+,"This satisfyingly old-fashioned story is set in the early 1900s. Orphan Maia is thrilled to learn she is to live with relatives in South America. She cannot wait to experience the sights, sounds and smells of the Amazon and is particularly looking forward to meeting her twin cousins.
When Maia arrives, however, the family is far from welcoming and she is saddened to see that they have blocked out all evidence of the rainforest from their stuffy home. Maia turns to her strict yet kindly governess, Miss Minton, for company, and strikes up some unusual and rewarding friendships.
This enchanting story has all the trademarks of Eva Ibbotson's writing. Maia is a wonderful heroine, and Ibbotson weaves a charming, compelling and warm-hearted tale of friendship, our responsibility to those around us, and the importance of the natural world. As well as being an exciting adventure story, this award-winning contemporary classic will leave "
Goodnight Mister Tom,Age 9+,"Willie Beech is evacuated to a tiny English village in the country just before the outbreak of World War II. A lonely and deprived child, he finds himself living with the reclusive, gruff old widower, Thomas Oakley. Although the two find it hard to adjust to their life together at first, they gradually develop a strong, mutual bond. Willie begins to enjoy life and make new friends in the village.
However, everything is thrown into confusion when Willie is suddenly recalled to London by his neglectful and abusive mother. After several weeks with no letter from Willie, Tom Oakley becomes concerned for his welfare and sets out to London in search of him.
Michelle Magorian's classic wartime story is a superbly written and deeply moving tale, which shows that even the most unlikely peo"
